CD_SETOR,NM_MUN,CD_DIST,NM_DIST,lat,lon
355030802000090,São Paulo,355030802,Alto de Pinheiros,-23.54433216868241,-46.70326802731512
355030802000091,São Paulo,355030802,Alto de Pinheiros,-23.544830183497012,-46.70210377979578
355030802000092,São Paulo,355030802,Alto de Pinheiros,-23.544767244824268,-46.700166086699355
355030802000093,São Paulo,355030802,Alto de Pinheiros,-23.545099799897528,-46.70094862616098
355030802000094,São Paulo,355030802,Alto de Pinheiros,-23.550847474637926,-46.69766043146453
355030802000095,São Paulo,355030802,Alto de Pinheiros,-23.551819126169967,-46.69909534063217
355030802000096,São Paulo,355030802,Alto de Pinheiros,-23.54826150520974,-46.71281362475133
355030802000097,São Paulo,355030802,Alto de Pinheiros,-23.551801804381142,-46.709228978332526
355030802000098,São Paulo,355030802,Alto de Pinheiros,-23.540664267764317,-46.71888078603144
355030802000099,São Paulo,355030802,Alto de Pinheiros,-23.54533938663549,-46.71620089089378
355030802000100,São Paulo,355030802,Alto de Pinheiros,-23.541580545033014,-46.708119528750316
355030802000101,São Paulo,355030802,Alto de Pinheiros,-23.542285176064773,-46.70825528018213
355030802000102,São Paulo,355030802,Alto de Pinheiros,-23.541303385499393,-46.70526384441285
355030802000103,São Paulo,355030802,Alto de Pinheiros,-23.54158076029767,-46.703330978470895
355030802000104,São Paulo,355030802,Alto de Pinheiros,-23.54135169600196,-46.701610419394925
355030802000105,São Paulo,355030802,Alto de Pinheiros,-23.54189519329849,-46.70191905727771
355030802000106,São Paulo,355030802,Alto de Pinheiros,-23.543758059810262,-46.698723654397014
355030802000107,São Paulo,355030802,Alto de Pinheiros,-23.54162128392978,-46.696864910763864
355030802000108,São Paulo,355030802,Alto de Pinheiros,-23.546846831700048,-46.69497625595842
355030802000109,São Paulo,355030802,Alto de Pinheiros,-23.547731483509402,-46.69408352708178
355030802000110,São Paulo,355030802,Alto de Pinheiros,-23.551752105710378,-46.69708588292576
355030802000111,São Paulo,355030802,Alto de Pinheiros,-23.55264609183326,-46.697976996110604
355030802000112,São Paulo,355030802,Alto de Pinheiros,-23.551982839764918,-46.69799830654617
355030802000113,São Paulo,355030802,Alto de Pinheiros,-23.55238901941838,-46.69842280830095
355030802000114,São Paulo,355030802,Alto de Pinheiros,-23.55342398921633,-46.70006246910456
355030802000115,São Paulo,355030802,Alto de Pinheiros,-23.552534510888137,-46.69909905004542
355030802000116,São Paulo,355030802,Alto de Pinheiros,-23.55441966672075,-46.698920173256575
355030802000117,São Paulo,355030802,Alto de Pinheiros,-23.55482593678504,-46.699227493623994
355030802000118,São Paulo,355030802,Alto de Pinheiros,-23.546940853845438,-46.72536025521735
355030802000119,São Paulo,355030802,Alto de Pinheiros,-23.550204221311873,-46.72171481198615
355030802000120,São Paulo,355030802,Alto de Pinheiros,-23.549037171223624,-46.72080523540067
355030802000121,São Paulo,355030802,Alto de Pinheiros,-23.550060207325192,-46.719667271856565
355030802000122,São Paulo,355030802,Alto de Pinheiros,-23.539407245475218,-46.71695691882377
355030802000123,São Paulo,355030802,Alto de Pinheiros,-23.540075967649763,-46.716105840081845
355030802000124,São Paulo,355030802,Alto de Pinheiros,-23.539321306735296,-46.71412180457324
355030802000125,São Paulo,355030802,Alto de Pinheiros,-23.539901829946242,-46.71490855664658
355030802000126,São Paulo,355030802,Alto de Pinheiros,-23.53990094149514,-46.706931961874474
355030802000127,São Paulo,355030802,Alto de Pinheiros,-23.540937603528644,-46.70660970318503
355030802000128,São Paulo,355030802,Alto de Pinheiros,-23.54384970016164,-46.69600322738252
355030802000129,São Paulo,355030802,Alto de Pinheiros,-23.543042589950517,-46.695378446073306
355030802000130,São Paulo,355030802,Alto de Pinheiros,-23.54441600026718,-46.69631065245962
355030802000131,São Paulo,355030802,Alto de Pinheiros,-23.5446232985715,-46.69478327285768
355030802000132,São Paulo,355030802,Alto de Pinheiros,-23.544227259118273,-46.694103890136496
